Campaign report,,,,,,,,,,,
"August 13, 2026 - August 31, 2026",,,,,,,,,,,
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Cost,Impr.,Clicks,Submit lead form
Enabled,2400 | TTM Constructors | Search | Lead form,7000, --,Campaign Total,THB,Ended,campaign ended,6868.5,"5,480",305,8
Enabled,2400 | TTM Constructors | Performance Max | Lead form,7000, --,Campaign Total,THB,Ended,campaign ended,6825.8,"9,577",296,2
